,description,naf5,naf4,naf3,naf2
19,"Agriculture, culture forestière et pêche et production animale, services de chasse et auxiliaires de production animale élevant chevaux et autres équines pour les chevaux reproducteurs et autres équines",01.43Z,1.43,1.4,1.0
20,"Agriculture, culture forestière et de pêche et production animale, services de chasse et auxiliaires Production animale reproducteur chameaux et autres chamelides reproducteurs chameaux et autres camélides",01.44Z,1.44,1.4,1.0
21,"Agriculture, culture forestière et pêche et production animale, services de chasse et auxiliaires Production animale reproducteur moutons et chèvres reproducteurs moutons et chèvres",01.45Z,1.45,1.4,1.0
22,"Agriculture, culture forestière et pêche et production animale, services de chasse et auxiliaires de production animale reproducteur de porc",01.46Z,1.46,1.4,1.0
23,"Agriculture, culture forestière et pêche et production animale, services de chasse et auxiliaires de production animale élevée",01.47Z,1.47,1.4,1.0
24,"Agriculture, culture forestière et pêche et production animale, services de chasse et auxiliaires de production animale élevant d'autres animaux élevant d'autres animaux",01.49Z,1.49,1.4,1.0
25,"Agriculture, culture forestière et pêche et production animale, services de chasse et de services auxiliaires Culture et culture agricole et associés agricoles Culture et Associés agricoles",01.50Z,1.5,1.5,1.0
26,"L'agriculture, la foresterie et la culture de la pêche et la production animale, la chasse et les services de soutien aux services connexes pour l'agriculture et le traitement primaire des récoltes de soutien aux activités de soutien des cultures",01.61Z,1.61,1.6,1.0
27,"L'agriculture, la culture forestière et la culture de la pêche et la production d'animaux, la chasse et les services liés aux services de soutien à l'agriculture et au traitement primaire des récoltes Activités de soutien aux activités de production animale Soutien pour la production animale",01.62Z,1.62,1.6,1.0
28,"L'agriculture, la culture forestière et la culture de la pêche et la production d'animaux, la chasse et les services liés aux services de soutien pour l'agriculture et le traitement primaire des récoltes Traitement primaire des récoltes Traitement primaire des récoltes",01.63Z,1.63,1.6,1.0
29,"L'agriculture, la culture forestière et de la pêche et la production d'animaux, la chasse et les services liés aux services de soutien pour l'agriculture et le traitement primaire des récoltes Traitement du traitement des semences",01.64Z,1.64,1.6,1.0
30,"Agriculture, culture forestière et pêche et production animale, services de chasse et services auxiliaires pour la chasse, le piégeage et l'escalade",01.70Z,1.7,1.7,1.0
31,"Agriculture, foresterie et pêche forestière et exploitation forestière forestière et autres activités forestières forestières et autres activités forestières forestières et autres activités forestières",02.10Z,2.1,2.1,2.0
32,"Agriculture, foresterie et pêche foresterie et exploitation forestière opérations forestières opérations forestières forestières",02.20Z,2.2,2.2,2.0
33,"Agriculture, foresterie et pêche forestière et exploitation forestière Récolte des produits forestiers non boisés poussant dans la récolte sauvage de produits forestiers non bois",02.30Z,2.3,2.3,2.0
34,"Agriculture, Forestry and Fishing Forestry and Logging Support Services pour les services de soutien aux opérations forestières pour les services de soutien aux opérations forestières pour l'exploitation forestière",02.40Z,2.4,2.4,2.0
35,"Agriculture, foresterie et pêche et pêche et pêche à la pêche à la pêche dans la pêche en mer en mer",03.11Z,3.11,3.1,3.0
36,"Agriculture, foresterie et pêche et pêche et pêche à la pêche à la pêche à l'eau douce dans la pêche d'eau douce",03.12Z,3.12,3.1,3.0
37,"Agriculture, foresterie et pêche à la pêche et aquaculture aquaculture aquaculture en mer en mer",03.21Z,3.21,3.2,3.0
38,"Agriculture, foresterie et pêche et aquaculture aquaculture aquaculture dans l'eau douce aquaculture en eau douce",03.22Z,3.22,3.2,3.0
39,Industries extractives Extraction du charbon et de la lignite Extraction du charbon de l'extraction du charbon du charbon,05.10Z,5.1,5.1,5.0
40,Industries extractives Extraction du charbon et du lignite Extraction de lignite Extraction lignite de l'extraction de lignite,05.20Z,5.2,5.2,5.0
41,Extraction des industries extractives de l'extraction d'hydrocarbures de l'extraction du pétrole brut de l'extraction de pétrole brut de pétrole brut,06.10Z,6.1,6.1,6.0
42,Extraction des industries extractives des hydrocarbures Extraction du gaz naturel Extraction du gaz naturel Extraction du gaz naturel,06.20Z,6.2,6.2,6.0
43,Industries extractives Extraction des minéraux métalliques Extraction de l'extraction des minerais de fer d'extraction des minéraux de fer des minerais de fer,07.10Z,7.1,7.1,7.0
44,Industries extractives Extraction des minéraux métalliques Extraction des minéraux métalliques non ferreux Extraction de l'uranium et du thorium Extraction des minéraux d'uranium et de thorium,07.21Z,7.21,7.2,7.0
45,Industries extractives Extraction des minéraux métalliques Extraction des minéraux métalliques non ferreux Extraction d'autres minéraux métalliques non ferreux d'extraction d'autres minéraux métalliques non ferreux,07.29Z,7.29,7.2,7.0
46,"Industries extractives Autres industries extractives Extraction des pierres, des sables et des argiles Extraction des pierres et constructions ornementales, du calcaire industriel, du gypse, de la craie et de l'extraction en ardoise des pierres ornementales et de construction, du calcaire industriel, du gypse gypse, de la craie et de l'ardoise",08.11Z,8.11,8.1,8.0
47,"Industries extractives Autres industries extractives Extraction des pierres, des sables et des argiles Exploitation des graveur et des grès, l'extraction d'argiles et l'exploitation de kaolin des graveur et des grès, l'extraction d'argiles et de kaolin",08.12Z,8.12,8.1,8.0
48,Industries extractives Autres industries extractives Activités extractives N.C.A. Extraction des minéraux chimiques et des engrais minéraux Extraction des minéraux chimiques et des engrais minéraux,08.91Z,8.91,8.9,8.0
49,Industries extractives Autres industries extractives Activités extractives N.C.A. Extraction d'extraction de tourbe de tourbe,08.92Z,8.92,8.9,8.0
50,Industries extractives Autres industries extractives Activités extractives N.C.A. Production de sel,08.93Z,8.93,8.9,8.0
51,Industries extractives Autres industries extractives Activités extractives N.C.A. Autres activités extractives N.C.A. Autres activités extractives N.C.A.,08.99Z,8.99,8.9,8.0
52,Les services de soutien aux industries extractives pour les activités de soutien aux industries extractives pour l'extraction des hydrocarbures de soutien aux activités pour l'extraction des activités de soutien aux hydrocarbures pour l'extraction des hydrocarbures,09.10Z,9.1,9.1,9.0
53,Les services de soutien aux industries extractives pour les activités de soutien aux industries extractives pour d'autres activités de soutien aux industries extractives pour d'autres activités de soutien aux industries extractives pour d'autres industries extractives,09.90Z,9.9,9.9,9.0
54,Industrie de l'industrie manufacturière Transformation des industries alimentaires et conservation de la viande et préparation de la transformation des produits de viande et conservation de la transformation et de la conservation de la viande de boucher de Butcher,10.11Z,10.11,10.1,10.0
55,Industrie de l'industrie manufacturière Industries alimentaires Transformation et conservation de la viande et préparation de la transformation des produits de viande et conservation de la transformation et de la conservation de la viande de la viande de volaille de la viande de volaille,10.12Z,10.12,10.1,10.0
56,Industrie de l'industrie manufacturière Industries alimentaires Transformation et conservation de la viande et préparation des produits de viande Préparation des produits de viande Préparation industrielle des produits de viande,10.13A,10.13,10.1,10.0
57,Industrie de l'industrie manufacturière Industries alimentaires Transformation et conservation de la viande et préparation des produits de viande Préparation des produits à base de viande de viande,10.13B,10.13,10.1,10.0
58,"Industrie de l'industrie manufacturière Industries alimentaires Transformation et conservation des poissons, des crustacés et des mollusques Transformation et conservation des poissons, des crustacés et des mollusques Transformation et conservation des poissons, des crustacés et des mollusques",10.20Z,10.2,10.2,10.0
59,Industrie de l'industrie manufacturière Transformation des industries alimentaires et préservation des fruits et légumes Transformation et conservation de la transformation des pommes de terre et de la conservation des pommes de terre,10.31Z,10.31,10.3,10.0
60,Industrie de l'industrie manufacturière Industries alimentaires Transformation et conservation des fruits et légumes Préparation du jus de fruits et légumes Préparation du jus de fruits et légumes,10.32Z,10.32,10.3,10.0
61,Industrie de l'industrie manufacturière Industries alimentaires Transformation et conservation des fruits et légumes Autres transformation et préservation des fruits et légumes Autres transformation et préservation des légumes,10.39A,10.39,10.3,10.0
62,Industrie de l'industrie manufacturière Industries alimentaires Transformation et préservation des fruits et légumes Autre transformation et préservation des fruits et légumes Traitement et conservation des fruits,10.39B,10.39,10.3,10.0
63,Industrie de l'industrie de la fabrication Industries alimentaires de fabrication des huiles de légumes et d'animaux et des graisses huiles de fabrication et graisses Huiles et graisses brutes de fabrication,10.41A,10.41,10.4,10.0
64,Industrie de l'industrie de la fabrication Industries alimentaires de fabrication des huiles de légumes et d'animaux et des huiles de fabrication de graisses et des graisses fabrication d'huiles et de graisses raffinées,10.41B,10.41,10.4,10.0
65,Industrie de l'industrie de la fabrication Industries alimentaires de fabrication des huiles et des animaux de légumes et d'animaux Fabrication de margarine et de graisses comestibles Fabrication de margarine similaire et de graisses comestibles similaires,10.42Z,10.42,10.4,10.0
66,Industrie de l'industrie de la fabrication Industries alimentaires Produits de produits laitiers Faire des laiteries et fabrication de fromage fabrication de lait liquide et de produits frais,10.51A,10.51,10.5,10.0
67,Industrie de l'industrie manufacturière Industries alimentaires Fabrication de produits laitiers Exploitation des laiteries et du fromage Fabrication de beurre,10.51B,10.51,10.5,10.0
68,Industrie de l'industrie de la fabrication Industries alimentaires Fabrication Produits laitiers Fonctionnement des laiteries et du fromage Fabrication de fromage Fabrication,10.51C,10.51,10.5,10.0
69,Industrie de l'industrie de la fabrication Industries alimentaires Fabrication Produits laitiers Faire des laiteries et fabrication de fromage Manufacturier d'autres produits laitiers,10.51D,10.51,10.5,10.0
70,Industrie de l'industrie de la fabrication Industries alimentaires Fabrication Produits laitiers Crème de fabrication de glaces et de sorbets de crème glacée et de sorbets,10.52Z,10.52,10.5,10.0
71,Industries de l'industrie manufacturière travail de céréales; Fabrication de produits amylés Travail des grains Meunes,10.61A,10.61,10.6,10.0
72,Industries de l'industrie manufacturière travail de céréales; Fabrication de produits amylases Travail des céréales Autres activités de travail de céréales,10.61B,10.61,10.6,10.0
73,Industries de l'industrie manufacturière travail de céréales; Fabrication de produits amylés fabrication de produits amylés fabrication de produits Amylaceé,10.62Z,10.62,10.6,10.0
74,Industrie de l'industrie manufacturière industries alimentaires boulangerie et pâtisserie et pâtes Produits de fabrication de pain frais et de pâtisserie industrielle et pâtisserie.,10.71A,10.71,10.7,10.0
75,Industrie de l'industrie manufacturière Industries de la boulangerie de fabrication de boulangerie et pâtisse,10.71B,10.71,10.7,10.0
76,Industrie de l'industrie manufacturière Industries de la boulangerie de fabrication et de pâtes et de pâtes Produits de fabrication de pain et de pâtisserie fraîche et boulangerie,10.71C,10.71,10.7,10.0
77,Industrie de l'industrie manufacturière industries de la boulangerie de fabrication et de pâtisserie et pâtes fabrication de pain et de pâtisserie frais,10.71D,10.71,10.7,10.0
78,"Industrie de l'industrie manufacturière Industries de la fabrication de boulangerie et de pâtisseries et de pâtes Fabrication de biscuits, de 8 vues de cuisine et de pâtisseries de conservation",10.72Z,10.72,10.7,10.0
79,Industrie de l'industrie manufacturière Industries de la fabrication de boulangerie et de pâtisse,10.73Z,10.73,10.7,10.0
80,Industrie de l'industrie manufacturière Industries de la fabrication d'autres produits alimentaires Fabrication de fabrication de sucre,10.81Z,10.81,10.8,10.0
81,"Industrie de l'industrie de la fabrication Industries alimentaires Manufacturières Autres produits alimentaires Fabrication de cacao, de chocolat et de confiseries Fabrication de cacao, de chocolat et de confiserie",10.82Z,10.82,10.8,10.0
82,Industrie de l'industrie manufacturière Industries de la fabrication d'autres produits alimentaires Transformation du thé et du café Transformation du thé et du café,10.83Z,10.83,10.8,10.0
83,Industrie de l'industrie manufacturière Industries de la fabrication d'autres produits alimentaires Condiments de fabrication et assaisonnements Condiments et assaisonnements de fabrication,10.84Z,10.84,10.8,10.0
84,Industrie de l'industrie manufacturière Industries de la fabrication d'autres produits alimentaires Fabrication Plats préparés Manufacturing Préparation Plats,10.85Z,10.85,10.8,10.0
85,Industrie de l'industrie manufacturière Industries de la fabrication d'autres produits alimentaires Fabrication homogénéisés et diététiques Fabrication d'aliments homogénéisés et diététiques,10.86Z,10.86,10.8,10.0
86,Industrie de l'industrie manufacturière Industries de la fabrication d'autres produits alimentaires Fabrication d'autres produits alimentaires N.C.A. Fabrication d'autres N.C.A.,10.89Z,10.89,10.8,10.0
87,Industrie de l'industrie manufacturière Industries de l'alimentation manufacturière Fabrication d'aliments pour animaux pour les animaux de fabrication d'aliments pour animaux agricoles Animaux de ferme,10.91Z,10.91,10.9,10.0
88,Industrie de l'industrie manufacturière Industries alimentaires alimentaires Fabricage alimentaire de la fabrication d'aliments pour animaux de compagnie Aliments pour animaux de compagnie,10.92Z,10.92,10.9,10.0
89,Industrie manufacturière Boissons manufacturières Boissons de fabrication Production de boissons alcoolisées distillées Production de boissons alcoolisées distillées,11.01Z,11.01,11.0,11.0
90,Industrie manufacturière Fabrication de boissons Fabrication de boissons Production de vin (raisin) Fabrication de vins effervescents,11.02A,11.02,11.0,11.0
91,Industrie manufacturière Fabrication de boissons fabrication de boissons Production de vins de vin (raisin),11.02B,11.02,11.0,11.0
92,Industrie manufacturière des boissons manufacturières de fabrication du cidre de fabrication et des vins de fruits de la fabrication de vins de cidre et de fruits,11.03Z,11.03,11.0,11.0
93,Industrie manufacturière des boissons manufacturières Production de boissons Production d'autres boissons fermentées non diffusées,11.04Z,11.04,11.0,11.0
94,Industrie manufacturière des boissons manufacturières fabrication de bière fabrication de bière fabrication,11.05Z,11.05,11.0,11.0
95,Industrie manufacturière Fermer des boissons fabrication de malt de fabrication de malt malt malt malt,11.06Z,11.06,11.0,11.0
96,Industrie manufacturière Fabrication de boissons Industrie de la fabrication des boissons sur les eaux minérales et autres eaux en bouteille et industrie des boissons rafraîchissantes,11.07A,11.07,11.0,11.0
97,Industrie manufacturière Fabrication de boissons Industrie des boissons de fabrication Eaux minérales et autres eaux en bouteille et production de boissons rafraîchissantes de boissons rafraîchissantes,11.07B,11.07,11.0,11.0
98,Industrie manufacturière Fabrication de produits à base de tabac Produits de fabrication de tabac de fabrication Produits de fabrication de tabac,12.00Z,12.0,12.0,12.0
99,Industrie manufacturière Manufacturing Textiles Préparation des textiles et tournant pour la préparation des fibres textiles et la rotation se préparant pour les fibres textiles et tournantes,13.10Z,13.1,13.1,13.0
100,L'industrie manufacturière des textiles de fabrication de tissage,13.20Z,13.2,13.2,13.0
101,Industrie manufacturie textile de fabrication textile textile ennoblement ennoblement textile,13.30Z,13.3,13.3,13.0
102,Industrie manufacturière Textiles Manufacturières Autres textiles Fabrics Fabrics Fabrics Fabrics Fabrics,13.91Z,13.91,13.9,13.0
103,"Industrie manufacturière Textiles Manufacturières Autres textiles Manufacturing Textile Articles, sauf la fabrication de vêtements d'articles textiles, à l'exception des vêtements",13.92Z,13.92,13.9,13.0
104,Industrie manufacturière Textiles Manufacturières Autres textiles Carpets de fabrication et tapis de fabrication de tapis et tapis,13.93Z,13.93,13.9,13.0
105,"Industrie manufacturière Textiles Manufacturières Autres textiles Crises de fabrication, chaînes et filets Crises, chaînes et filets de fabrication",13.94Z,13.94,13.9,13.0
106,"Industrie manufacturière Textiles Manufacturières Autres textiles Manufacturier non tissé, sauf la fabrication de vêtements non tissé, à l'exception des vêtements",13.95Z,13.95,13.9,13.0
107,Industrie manufacturière Textiles de fabrication Manufacturation d'autres textiles Manufacturation d'autres textiles techniques et industriels fabrication d'autres textiles techniques et industriels,13.96Z,13.96,13.9,13.0
108,Industrie manufacturière Textiles Manufacturières Manufacturières Autres textiles Fabrication d'autres textiles N.C.A. Fabrication d'autres textiles N.C.A.,13.99Z,13.99,13.9,13.0
109,"Industrie de l'industrie manufacturière Industrie des vêtements de fabrication, autres que dans la fabrication de vêtements de fabrication de cuir de fabrication de vêtements de fabrication",14.11Z,14.11,14.1,14.0
110,"Industrie de l'industrie manufacturière Industrie des vêtements de fabrication, autres que dans la fourrure de fabrication de vêtements de travail de travail de fabrication",14.12Z,14.12,14.1,14.0
111,"Industrie de l'industrie manufacturière Industrie des vêtements de fabrication, autres que dans les vêtements de fourrure en fourrure.",14.13Z,14.13,14.1,14.0
112,"Industrie de l'industrie manufacturière Industrie des vêtements de fabrication, autres que dans les sous-vêtements de vêtements de fourrure sous-vêtements manufacturiers",14.14Z,14.14,14.1,14.0
113,"Industrie de l'industrie manufacturière Industrie des vêtements de fabrication, autres que dans la fabrication de fourrures d'autres vêtements et accessoires Manufacturation d'autres vêtements et accessoires",14.19Z,14.19,14.1,14.0
114,Industrie de l'industrie manufacturière Industrie manufacturière Articles de fourrure Fabrication d'articles de fourrure Articles de fourrure de fabrication,14.20Z,14.2,14.2,14.0
115,Industrie de l'industrie manufacturie Industrie de fabrication Articles de fabrication,14.31Z,14.31,14.3,14.0
116,Industrie de l'industrie manufacturière Industrie manufacturière Articles de fabrication d'autres articles en maille Manifaning d'autres articles en maille,14.39Z,14.39,14.3,14.0
117,"Industrie de l'industrie manufacturière industrie et amorces et chaussures de bronzage; Préparation et teinture des fourrures; Fabrication de voyages, de maroquinerie et d'amorçage et de selles de bronzage; Préparation et teinture du tannage Prérêt et des cuirs; Préparation et teinture des fourrures",15.11Z,15.11,15.1,15.0
118,"Industrie de l'industrie manufacturière industrie et amorces et chaussures de bronzage; Préparation et teinture des fourrures; Fabrication de voyages, d'articles en cuir et de selleries Travels de fabrication, de maroquinerie et d'ameublement Fabrication de fabrication, d'articles en cuir et d'ameublement",15.12Z,15.12,15.1,15.0
119,Industrie de l'industrie de la fabrication Industrie en cuir et chaussures Chaussures de fabrication chaussures de fabrication chaussures de fabrication,15.20Z,15.2,15.2,15.0
120,"Travail de la fabrication du bois et fabrication de bois et d'articles en liège, à l'exception des meubles; Fabrication d'articles dans la vannerie et le sciage et le rythme de sciage en bois et de rabotage en bois de bois de bois et de rabotage en bois, à l'exclusion de l'imprégnation",16.10A,16.1,16.1,16.0
121,"Travail de la fabrication du bois et fabrication de bois et d'articles en liège, à l'exception des meubles; Fabrication d'articles dans la vannerie et le sciage et le rythme de sciage en bois et de rabores",16.10B,16.1,16.1,16.0
122,"Travail de la fabrication du bois et fabrication de bois et d'articles en liège, à l'exception des meubles; Fabrication d'articles de vannerie et de lourdes fabrication d'articles en bois, en liège, en vannerie et des articles épaissants fabrication de placage et de panneaux en bois",16.21Z,16.21,16.2,16.0
123,"Travail de la fabrication du bois et fabrication de bois et d'articles en liège, à l'exception des meubles; Fabrication d'articles dans la vannerie et la fabrication de la fabrication d'articles en bois, en liège, en vannerie et lourde.",16.22Z,16.22,16.2,16.0
124,"Travail de la fabrication du bois et fabrication de bois et d'articles en liège, à l'exception des meubles; Fabrication d'articles dans la vannerie et la fabrication de la fabrication d'articles en bois, en bouchon, en vannerie et sparry Fabrication de cadres et autres menaces de fabrication de menuiserie et autres menuiseries",16.23Z,16.23,16.2,16.0
125,"Travail de la fabrication du bois et fabrication de bois et d'articles en liège, à l'exception des meubles; Fabrication d'articles de bassin et de clôture de fabrication de fabrication en bois, en bouchon, vannerie et stimulte fabrication d'emballages en bois fabrication d'emballage en bois d'emballage en bois",16.24Z,16.24,16.2,16.0
126,"Travail de la fabrication du bois et fabrication de bois et d'articles en liège, à l'exception des meubles; Fabrication d'articles dans la vannerie et la fabrication de la fabrication d'articles en bois, en bouchon, en vannerie et lourde fabrication de divers objets en bois; Fabrication d'objets en liège, vannerie et réflexion de la fabrication de divers objets en bois; Fabrication d'objets de bouchon, de vannerie et de sparte",16.29Z,16.29,16.2,16.0
127,"Fabrication de fabrication du papier et du carton Fabrication, du papier et du carton Fabrication de fabrication de pâte de fabrication",17.11Z,17.11,17.1,17.0
128,"Industrie de la fabrication du papier et du carton Fabrication de fabrication, de papier et de carton de fabrication de papier et de carton de fabrication en papier et en carton",17.12Z,17.12,17.1,17.0
129,Fabrication du papier et du carton Fabrication d'articles de papier ou de carton de fabrication de papier et de carton ondulé et de papier ou d'emballage en carton fabrication de fabrication en carton ondulé,17.21A,17.21,17.2,17.0
130,Industrie de la fabrication du papier et du carton de fabrication de papier ou de carton d'articles de fabrication en papier de fabrication et en carton ondulé et en papier ou en carton d'emballage de fabrication en carton de fabrication,17.21B,17.21,17.2,17.0
131,Fabrication du papier et du carton Fabrication de papier ou en carton Articles de fabrication du papier de fabrication et de carton ondulé et de papier ou d'emballage en carton emballage en papier de fabrication,17.21C,17.21,17.2,17.0
132,Industrie manufacturière papier et carton fabrication d'articles de papier ou de carton de fabrication d'articles papier pour la santé ou l'utilisation domestique d'articles papier pour la santé ou à usage domestique,17.22Z,17.22,17.2,17.0
133,Fabrication de l'industrie du papier et du carton de fabrication de papier ou d'articles en carton,17.23Z,17.23,17.2,17.0
134,Fabrication du papier et du carton Fabrication en papier ou en carton Fabricants fonds d'écran de fabrication de fonds d'écran de fabrication,17.24Z,17.24,17.2,17.0
135,Fabrication de l'industrie du papier et du carton Fabrication de papier ou d'articles en carton fabrication d'autres articles en papier ou en carton fabriquant d'autres articles en papier ou en carton,17.29Z,17.29,17.2,17.0
136,Impression et reproduction de l'industrie manufacturière des services d'impression et de services connexes.,18.11Z,18.11,18.1,18.0
137,Impression et reproduction de l'industrie manufacturière des services d'impression et de services connexes Autres services d'impression (Labeur) Autre impression (Labeur),18.12Z,18.12,18.1,18.0
138,Impression et reproduction de l'industrie manufacturière des imprimés et des services connexes Printells et Activités pré-presse,18.13Z,18.13,18.1,18.0
139,Impression et reproduction de l'industrie manufacturière de l'impression et des services connexes Impression et activités connexes liaison et activités connexes,18.14Z,18.14,18.1,18.0
140,Impression et reproduction de l'industrie manufacturière des dossiers reproduction des enregistrements Reproduction de l'enregistrement Reproduction des enregistrements,18.20Z,18.2,18.2,18.0
141,L'industrie manufacturière cokefaction et raffinage cokéfaction cokéfaction cokéfaction,19.10Z,19.1,19.1,19.0
142,Industrie manufacturière Cokefaction et raffinage d'huile raffinage d'huile raffinage d'huile,19.20Z,19.2,19.2,19.0
143,"Industrie de l'industrie manufacturière Industrie chimique Fabrication de produits chimiques de base, de produits d'azote et d'engrais, de plastiques de base et de fabrication de caoutchouc synthétique de fabrication de gaz industriel",20.11Z,20.11,20.1,20.0
144,"Industrie de l'industrie manufacturière Industrie chimique Fabrication de produits chimiques de base, de produits d'azote et d'engrais, de plastiques de base et de coloriage synthétique Coloration et pigments Coloriage de fabrication et pigments",20.12Z,20.12,20.1,20.0
145,"Industrie de l'industrie de la fabrication Industrie chimique des produits chimiques de base, produits d'azote et engrais, plastiques de base et caoutchouc synthétique Manufacturier d'autres produits chimiques inorganiques de base Enrichissement et retraitement des matières nucléaires",20.13A,20.13,20.1,20.0
146,"Industrie de l'industrie manufacturière industrie chimique des produits chimiques de base, produits d'azote et engrais, plastiques de base et caoutchouc synthétique Manufacturier d'autres produits chimiques inorganiques de base fabriquant d'autres produits chimiques inorganiques de base N.C.A.",20.13B,20.13,20.1,20.0
147,"Industrie de l'industrie manufacturière industrie chimique des produits chimiques de base, des produits d'azote et des engrais, des plastiques de base et du caoutchouc synthétique Manufacturier d'autres produits chimiques organiques de base fabriquant d'autres produits chimiques organiques de base",20.14Z,20.14,20.1,20.0
148,"Industrie de l'industrie manufacturière Industrie chimique Fabrication de produits chimiques de base, de produits d'azote et d'engrais, de plastiques de base et de fabrication de caoutchouc synthétique de produits d'azote et de fabrication d'engrais d'azote et d'engrais",20.15Z,20.15,20.1,20.0
149,"Industrie de l'industrie manufacturière industrie chimique Manufacturation chimiques de base, produits d'azote et engrais, plastiques de base et fabrication de caoutchouc synthétique Fabrication de base en plastique de base",20.16Z,20.16,20.1,20.0
150,"Industrie de l'industrie manufacturière Industrie chimique Fabrication de produits chimiques de base, de produits d'azote et d'engrais, de plastiques de base et de caoutchouc synthétique Manufacturation en caoutchouc synthétique",20.17Z,20.17,20.1,20.0
151,Industrie de l'industrie de la fabrication industrie chimique des pesticides de fabrication et autres produits agrochimiques de fabrication de pesticides et d'autres produits agrochimiques de fabrication de pesticides et d'autres produits agrochimiques,20.20Z,20.2,20.2,20.0
152,"Industrie de l'industrie manufacturière Industrie chimique Paintes de fabrication, vernis, encres et mastics, peintures de fabrication, vernis, encres et mastics de fabrication de peintures, vernis, encres et mastics",20.30Z,20.3,20.3,20.0
153,"Industrie de l'industrie manufacturière des savons de fabrication de produits chimiques, des produits de nettoyage et des parfums de savons de fabrication, de détergents et de produits de maintenance des savons de fabrication, des détergents et des produits de nettoyage",20.41Z,20.41,20.4,20.0
154,"Industrie de l'industrie manufacturière Industrie chimique Fabrication de savons, de produits de maintenance et de parfums Perfumes et produits de fabrication pour les parfums de fabrication de toilettes et les produits de toilette",20.42Z,20.42,20.4,20.0
155,Industrie de l'industrie manufacturière Industrie chimique Manufacturation d'autres produits chimiques fabrication de produits explosifs,20.51Z,20.51,20.5,20.0
156,Industrie de l'industrie manufacturière Industrie chimique Manufacturation Autres produits chimiques Fabrication de colurs,20.52Z,20.52,20.5,20.0
157,Industrie de l'industrie de la fabrication de l'industrie chimique Manufacturation d'autres produits chimiques fabrication d'huiles essentielles manufacturières huiles essentielles,20.53Z,20.53,20.5,20.0
158,Industrie de l'industrie de la fabrication Industrie chimique Manufacturation d'autres produits chimiques Manufacturation d'autres produits chimiques N.C.A. Fabrication d'autres produits chimiques N.C.A.,20.59Z,20.59,20.5,20.0
159,Industrie de la fabrication Industrie chimique Fabrse de fabrication artificielle ou synthétique,20.60Z,20.6,20.6,20.0
160,Industrie de la fabrication de l'industrie pharmaceutique fabrication de produits pharmaceutiques de base fabrication de produits pharmaceutiques de base fabrication de produits pharmaceutiques de base,21.10Z,21.1,21.1,21.0
161,Industrie de la fabrication Industrie pharmaceutique Fabrication Préparation pharmaceutique Fabrication Préparation pharmaceutique Fabrication Préparation pharmaceutique,21.20Z,21.2,21.2,21.0
162,Industrie manufacturière Fabrication de produits en caoutchouc et en plastique Produits en caoutchouc Fabrication et récupération des pneus Fabrication et récupération des pneus,22.11Z,22.11,22.1,22.0
163,Industrie de fabrication Fabrication de produits en caoutchouc et en plastique Produits en caoutchouc fabrication d'autres articles en caoutchouc Manifaning d'autres articles en caoutchouc,22.19Z,22.19,22.1,22.0
164,"Industrie manufacturière Fabrication de produits en caoutchouc et en plastique Produits de fabrication en plastique Fabrication d'assiettes, de feuilles, de tubes et de profils de plastiques Plaques de fabrication, feuilles, tubes et profils en plastique",22.21Z,22.21,22.2,22.0
165,Industrie de fabrication Fabrication de produits en caoutchouc et en plastique Produits en plastique Fabrication d'emballage en plastique Fabrication d'emballage en plastique,22.22Z,22.22,22.2,22.0
166,Industrie manufacturière Fabrication de produits en caoutchouc et en plastique Produits en plastique Fabrication de matériaux plastiques pour la construction de la fabrication d'éléments en plastique pour la construction,22.23Z,22.23,22.2,22.0
167,Industrie manufacturière Fabrication de produits en caoutchouc et en plastique Produits en plastique Fabrication d'autres articles dans des matériaux plastiques Manufacturation Pièces techniques basées sur des plastiques,22.29A,22.29,22.2,22.0
168,Industrie manufacturière Fabrication de produits en caoutchouc et en plastique Produits en plastique Fabrication d'autres articles dans les matériaux plastiques Fabricant de produits de consommation actuels dans les plastiques,22.29B,22.29,22.2,22.0
169,Industrie de la fabrication Fabrication d'autres produits minéraux non métalliques Fabrication en verre et en verre Articles de verre plat fabrication de verre plat,23.11Z,23.11,23.1,23.0
170,Industrie manufacturière Fabrication d'autres produits minéraux non métalliques de fabrication en verre et en verre Façon et transformation de la mise en forme et de la transformation plate du verre plat,23.12Z,23.12,23.1,23.0
171,Industrie de fabrication Fabrication d'autres produits minéraux non métalliques de fabrication en verre et en verre élevé Manufacturier Fabrication de verre creuse,23.13Z,23.13,23.1,23.0
172,Industrie manufacturière Fabrication D'autres produits minéraux non métalliques Fabrication de verre et de verre Fabrières de verre Fabres de verre Fabres de verre,23.14Z,23.14,23.1,23.0
173,"Industrie manufacturière Fabrication d'autres produits minéraux non métalliques Manufacturing en verre et en verre Manufacturing et façonnant d'autres articles en verre, y compris la fabrication de verre technique et la mise en forme d'autres articles en verre, y compris le verre technique",23.19Z,23.19,23.1,23.0
174,Industrie de fabrication Fabrication d'autres produits minéraux non métalliques fabrication de produits réfractaires fabrication de produits réfractaires fabrication de produits réfractaires,23.20Z,23.2,23.2,23.0
175,Industrie manufacturière Fabrication d'autres produits minéraux non métalliques Manufacturation de construction en terre cuite,23.31Z,23.31,23.3,23.0
